id,type,breed,age,gender,size,description,name,status,published_at
65523940,Cat,Tabby,Baby,Male,Small,Super handsome Chewy is one cool kitty - the much-loved leader of his happy pack of fun-loving siblings! He&amp;#39;s curious...,Kitten 24581 (Chewy),adoptable,2023-07-20T17:00:47+0000
65523941,Cat,Tabby,Baby,Male,Small,Handsome Julius is a born leader of the pack and the biggest of his litter. He knows how to rein...,Kitten 24551 (Julius),adoptable,2023-07-20T17:00:47+0000
65523942,Cat,Maine Coon,Baby,Male,Small,"If there&amp;#39;s an empty box to explore and pop out of, or a lively romp, race, or game with his...",Kitten 24489 (Grogu),adoptable,2023-07-20T17:00:47+0000
65523935,Cat,Siamese,Adult,Male,Large,,Courage (December),adoptable,2023-07-20T17:00:12+0000
65523934,Cat,Domestic Short Hair,Baby,Female,Small,Christina loves to eat and play with toys. She is also a great cuddle bug. She loves to play with...,Christina,adoptable,2023-07-20T17:00:11+0000
65523933,Cat,Domestic Short Hair,Baby,Male,Medium,"Luna and Ollie are kittens found on W Gettysburg Ave. Ollie is a little more adventurous than his sister, but...",Ollie,adoptable,2023-07-20T16:59:26+0000
65523932,Cat,Domestic Short Hair,Baby,Female,Medium,"Bossy is a little more shy than her brother, Prince, but she still enjoys exploring! Cute as can be, she...",Bossy,adoptable,2023-07-20T16:59:26+0000
65523931,Cat,Domestic Short Hair,Baby,Female,Medium,Luna and Ollie are kittens found on W Gettysburg Ave. She may be a little more shy than her brother...,Luna,adoptable,2023-07-20T16:59:26+0000
65523930,Cat,Domestic Long Hair,Baby,Male,Medium,"Prince is an ADORABLE longhaired tuxedo kitty! I mean look at those whiskers. He and sister, Bossy, are about 10...",Prince,adoptable,2023-07-20T16:59:25+0000
65523928,Cat,Domestic Short Hair,Adult,Female,Small,,JUNO,adoptable,2023-07-20T16:59:22+0000
65523924,Cat,Tuxedo,Baby,Female,Medium,"PLEASE NOTE: We do not adopt our fosters to anyone further than a 1-hour drive from Albany, NY. Unless otherwise...",Inez,adoptable,2023-07-20T16:58:57+0000
65523923,Cat,Domestic Short Hair,Baby,Male,Small,I would love a new home! Come see me at the shelter and see if I&#039;m the right pet for...,Tux,adoptable,2023-07-20T16:58:50+0000
65521381,Cat,Domestic Short Hair,Young,Male,Medium,,Simba,adoptable,2023-07-20T16:58:32+0000
65523922,Cat,Domestic Short Hair,Adult,Male,Medium,Charlie is a very affectionate fella who is always looking to people for pets.  He is playful and seems to...,Charlie,adoptable,2023-07-20T16:58:18+0000
65523916,Cat,Tabby,Baby,Male,Large,"Bonded brothers,  home together needed please for these very playful, charming kittens.  They are two of a litter of four...",Randy and Garth ,adoptable,2023-07-20T16:57:02+0000
65523904,Cat,Domestic Short Hair,Young,Female,Medium,,Chakira,adoptable,2023-07-20T16:55:41+0000
65523890,Cat,Maine Coon,Baby,Female,Small,More adorable orphans this week and wow are they amazing and also coming this week from Kentucky!! Fun uber snuggly...,Lima Bean is poofy precious and oh sooo sweet!,adoptable,2023-07-20T16:55:25+0000
65523886,Cat,Snowshoe,Adult,Female,Medium,,Gwen,adoptable,2023-07-20T16:55:16+0000
65523880,Cat,Domestic Medium Hair,Baby,Male,Small,"Astro, Or &amp;#34;Astrology&amp;#34; is a fluffy, adorable, sweet, baby boy. Great cuddle buddy! A bit energetic when he&amp;#39;s happy, but...",Astro,adoptable,2023-07-20T16:55:14+0000
65523882,Cat,Domestic Short Hair,Baby,Male,Small,,Ollie,adoptable,2023-07-20T16:55:14+0000
65523881,Cat,Domestic Short Hair,Baby,Female,Small,"Anya is the SWEETEST little grey baby. She loves cuddles and hugs, and needs lots of attention. She loves humans...",Anya,adoptable,2023-07-20T16:55:14+0000
65523865,Cat,Domestic Short Hair,Young,Male,Medium,Hi! My name is Mario and I am available for adoption. I was brought in by my previous owner on...,MARIO,adoptable,2023-07-20T16:54:13+0000
65523861,Cat,Russian Blue,Baby,Female,Small,Hi! I’m Carly. I’m very special girl. My foster mom was given me when I was three hours old. Hard...,Carly,adoptable,2023-07-20T16:53:44+0000
65523859,Cat,Maine Coon,Baby,Female,Small,More adorable orphans this week and wow are they amazing and also coming this week from Kentucky!! Fun uber snuggly...,Black Bean is beautiful funny and just darn perfect!,adoptable,2023-07-20T16:53:32+0000
65523855,Cat,Domestic Medium Hair,Adult,Male,Medium,"JAMES, M/N, DMH, WHITE
BORN MAY 1 2022

I am a social boy who would love nothing better then to...",James,adoptable,2023-07-20T16:53:07+0000
65523618,Cat,Tortoiseshell,Adult,Female,Large,"Nelly is a sweet girl with a slight tortie-tude. Her adoption fee includes spay, micro-chip and up to date on...",Nelly,adoptable,2023-07-20T16:52:54+0000
65523850,Cat,Domestic Short Hair,Senior,Male,Small,,JOEY,adoptable,2023-07-20T16:52:45+0000
65523843,Cat,Domestic Short Hair,Baby,Male,Small,,SMUDGE,adoptable,2023-07-20T16:52:40+0000
65523844,Cat,Domestic Short Hair,Young,Female,Medium,,CRY BABY,adoptable,2023-07-20T16:52:40+0000
65523828,Cat,Domestic Short Hair,Baby,Female,Small,,MISSY,adoptable,2023-07-20T16:52:39+0000
65523829,Cat,Domestic Short Hair,Baby,Male,Small,,ROBBI,adoptable,2023-07-20T16:52:39+0000
65523830,Cat,Domestic Short Hair,Baby,Male,Small,,TOM,adoptable,2023-07-20T16:52:39+0000
65523829,Cat,Domestic Short Hair,Baby,Male,Small,,ROBBI,adoptable,2023-07-20T16:52:39+0000
65523830,Cat,Domestic Short Hair,Baby,Male,Small,,TOM,adoptable,2023-07-20T16:52:39+0000
